id,uniqueSlug,displayName,description,attribute,giftId
699d88bf-f741-416c-b423-4f4ea5189f49,agile,Agile,"Les mouvements du personnage sont effectués avec aisance et promptitude, souplesse et alerte.",Agility,a09131aa-7673-47c9-82b9-a396ce371b5e
5ac251b8-1c09-45bb-a00f-788838deb984,attentif,Attentif,"Le personnage porte attention à son environnement, aux objets et aux créatures qui l’entourent.",Sensitivity,678c3e97-ed28-41b8-8b9a-ebd044a4a276
e37b874c-ffe1-4631-81e8-c3bb1b0a5b3a,bienveillant,Bienveillant,"Le personnage montre de bonnes intentions, de bonnes dispositions envers les autres, ses paroles sont complaisantes et il se montre compréhensif.",Sensitivity,675916b1-dd13-4cd4-af95-c90be9d24da6
24bd3326-57f8-4240-904d-c5b65a8e2e03,coriace,Coriace,"Le personnage est tenace et solide, il maintient fermement ses positions.",Vigor,e0aa792e-74ac-4244-9fca-f062944442a5
3fa46cf8-3857-4e41-86ed-fecd4d793f3b,courrouce,Courroucé,Les émotions du personnage sont vives et ses mouvements sont brusques.,Agility,711849f2-81e5-4322-a7f2-501a2737758a
b1d6cf74-5ce1-40a6-bce1-bf48881238a2,curieux,Curieux,"Le personnage est avide de voir, de comprendre et de savoir.",Intellect,f61550c6-cd6e-4138-a16d-a120390005d6
3b4465f5-dab4-4f80-af4e-fc00a069da36,debrouillard,Débrouillard,"Par des ruses, astuces et sa dextérité manuelle, le personnage sait se tirer d’embarras et obtenir ce qu’il désire.",Coordination,5dab6376-cc09-42f3-905c-156bb039d27a
16a76d43-f724-49eb-88ee-575266cada10,explorateur,Explorateur,Les voyages de découverte en contrées inconnues font partie des désirs et/ou des expériences du personnage.,Intellect,94cd591c-e958-4865-ac22-ecd2f5082937
f0f0d211-7515-4a2e-9aa1-9fc709c48ed4,habile,Habile,Les gestes et mouvements du personnage sont effectuées avec adresse et précision.,Coordination,5a5a641d-042c-4b52-ade2-1b3b6c42d38c
c544ef30-607a-4202-8c4b-5205087f0db7,inspirant,Inspirant,Le personnage inspire facilement des émotions à ceux qui l’entourent.,Presence,b3e183d8-2e4c-4182-add4-7b76ef4aa89c
aefffe59-a4a8-425e-b2b8-b4159ef05297,muscle,Musclé,"La musculature du personnage est développée, vive et efficace.",Vigor,96cee4ab-5005-4c8f-870e-b862b5e17972
fb2f8e3c-b1c0-4f6d-b243-f3788a44b5a1,mysterieux,Mystérieux,"Le personnage s’entoure de secrets et de mystères, il laisse peu paraître ses idées et émotions.",Spirit,b6ab7cf0-38cd-4cc5-b3e7-8c3e136d6495
3f1b21dd-de5a-4c62-86c8-cb59a27ced5b,naturel,Naturel,"Le personnage dégage simplicité, aisance, vraisemblance, il agit selon sa nature profonde, sans masque.",Sensitivity,95ddc880-843c-40b7-a2f3-3b101d864d89
95da4d36-54bb-46a3-b7a2-c7fb4fcaa7f9,perfectionniste,Perfectionniste,"Le personnage est doté d’un souci exagéré et pointu du détail, il est minutieux.",Coordination,ea92eb82-f4c8-4a85-abde-c0ef873c99cd
e657a05f-02eb-4e7a-a131-7de509615f45,savant,Savant,Les connaissances du personnage sont étendues dans divers domaines ou une discipline particulière.,Intellect,ffa76cd0-3219-4de7-829c-10928375b1ab
07d179d8-c079-487f-9f3e-70ea78bc9995,solitaire,Solitaire,"Le personnage cherche la solitude, il s’attache peu aux autres.",Sensitivity,c7a7fb46-8083-4e84-bcbb-3cc59ea9b299
a7682e33-26bd-4cd9-80d5-071e81e9cb22,sournois,Sournois,"Le personnage cache ses pensées, ses sentiments véritables, il arrive à ses fins en étant malveillant, hypocrite ou manipulateur.",Presence,3205d062-b27b-4e0b-9a1c-f5a17356caed
77f30ddf-86b7-42e0-9048-8ff9e1013ced,stoique,Stoïque,"La volonté du personnage est ferme, il est impassible et indifférent à a douleur.",Spirit,ce59d64b-e7a0-4abe-ac0d-52c245d47dd7
6ea47502-8dd4-4c53-925a-d21ad46ad2c6,supporteur,Supporteur,"Le personnage est encourageant, sa parole remonte le moral et motive ses compagnons.",Presence,142a8f4e-d06d-45a1-8dd4-dbd7713e309c
4472fadb-85c7-45ec-9243-7e88b59b26dd,timide,Timide,"Les actes, décisions, opinions ou paroles du personnage manquent d’assurance ou de hardiesse, il se fait peut remarquer.",Agility,5e30d0a4-96a0-4cb4-83f7-6266ce5e217c
